Customer_Age,Gender,Dependent,Education,Marital,Income,KCategory,onBook,Relationship,Inactive,ContactNum,CLimit,Revolving,Open,Amt_41,TransAmt,TransCt,Ct_41,Utilization,Importance,MustHave,Group,Essential,DropLevel,Class
47,F,3,Post-Graduate,Married,Less than $40K,Blue,29,4,2,2,12716.47903,782,2259,1.33527219,1139.459995,75,0.786,0.059029183,0.852241368,56,4,5.716050464,8,1
49,F,4,Unknown,Married,Less than $40K,Blue,33,3,2,1,12700.08522,776,726,1.334908283,1144.366589,79,0.681,0.057461336,0.463223231,96,2,3.468873936,1,1
45,F,3,Graduate,Married,$40K - $60K,Blue,38,3,6,1,12727.85144,775,1755,1.339869102,1145.456878,72,0.714,0.064976096,0.271158458,51,0,0.467482224,8,1
49,F,4,Unknown,Single,Less than $40K,Blue,29,1,3,2,12728.80983,781,1641,1.330036444,1145.817768,85,0.518,0.064982283,0.856922462,60,1,6.807167082,2,1
31,M,0,Unknown,Married,Less than $40K,Blue,25,2,3,0,12701.19355,781,4093,1.335059371,1143.545982,112,0.778,0.057940228,0.279773868,3,1,1.564987828,5,1
40,M,2,High School,Unknown,$80K - $120K,Silver,32,5,2,3,12729.11232,777,33334,1.339027605,1148.972284,54,0.543,0.062011489,0.337940065,91,5,0.117184051,3,1
54,F,2,Unknown,Divorced,$40K - $60K,Blue,49,5,3,2,12641.05122,777,2959,1.335659728,1142.141223,44,0.692,0.059278672,0.791805294,4,3,0.928750476,2,1
43,M,2,Graduate,Single,$80K - $120K,Blue,30,3,3,3,12685.24059,777,34516,1.337370916,1147.357313,51,0.645,0.061755869,0.531164433,41,3,1.344831015,1,2
38,F,4,Graduate,Single,Less than $40K,Blue,26,2,2,2,12662.80269,778,2458,1.338268944,1148.454051,36,0.385,0.065573224,0.311351688,34,2,1.686735818,2,2
51,F,4,Graduate,Single,Less than $40K,Blue,36,4,3,1,12684.56249,779,624,1.333214966,1139.185848,67,0.763,0.056450508,0.446357016,34,3,7.267324662,5,1
38,M,3,Graduate,Single,$120K +,Blue,29,4,3,0,12738.17572,772,8762,1.333853151,1143.337104,81,1.025,0.061016851,0.021168314,10,0,4.821679633,5,1
41,M,3,Graduate,Single,$80K - $120K,Blue,26,4,3,2,12666.08166,773,9995,1.339468246,1143.609495,31,0.476,0.061047382,0.491731521,35,2,1.750540442,4,1
36,F,2,Graduate,Married,Less than $40K,Blue,30,1,3,2,12664.58996,778,5723,1.33727847,1143.523207,120,0.69,0.057092677,0.531761241,13,5,9.173311104,1,1
44,M,4,Uneducated,Married,$40K - $60K,Blue,33,5,4,3,12648.58987,774,1527,1.334454078,1141.483656,38,0.462,0.058924901,0.905166536,24,0,2.3474772,3,2
40,F,3,Unknown,Married,Less than $40K,Blue,30,4,2,3,12706.19785,778,342,1.336278583,1140.12172,69,1.029,0.061612945,0.449812322,1,1,0.937308445,3,1
36,F,3,Unknown,Married,Less than $40K,Blue,36,6,5,3,12707.71467,778,1158,1.332569844,1148.438663,55,0.667,0.063061023,0.609943946,39,4,1.602400035,9,1
30,M,0,Graduate,Married,Less than $40K,Blue,36,3,3,2,12713.94451,781,927,1.330016553,1148.220917,51,0.275,0.057374758,0.245269986,51,1,4.254458253,1,1
49,M,4,College,Single,$60K - $80K,Blue,35,1,2,2,12649.87027,776,15533,1.332354563,1140.533921,118,0.873,0.057343737,0.231946775,20,3,4.448088793,4,1
46,F,3,Graduate,Single,Less than $40K,Blue,26,3,3,3,12734.74105,774,753,1.332189065,1144.146523,45,0.406,0.061579566,0.511978733,53,4,4.800910995,5,1
54,M,1,Unknown,Single,$80K - $120K,Blue,49,2,3,3,12662.81394,782,26543,1.33374366,1148.060514,102,0.759,0.06380495,0.783061201,31,3,4.734134664,8,1
51,F,2,Doctorate,Single,Unknown,Blue,45,6,3,1,12648.65068,782,1426,1.334379658,1148.964717,58,0.812,0.056268427,0.64206231,92,2,6.025006879,4,1
60,M,0,Uneducated,Married,$60K - $80K,Blue,55,6,1,2,12658.73075,775,5086,1.335534538,1142.380318,47,0.958,0.062897479,0.935129497,52,3,8.240776737,10,1
44,F,2,High School,Unknown,Less than $40K,Blue,34,5,1,3,12719.98106,779,709,1.335224602,1139.874374,81,0.884,0.059990379,0.062838991,49,1,8.23246187,7,1
42,F,3,Graduate,Unknown,Less than $40K,Blue,32,3,1,2,12657.65042,780,6267,1.334597452,1145.061439,35,0.591,0.065193339,0.881825186,68,1,6.473327646,7,1
40,M,4,Uneducated,Single,$120K +,Blue,36,4,3,2,12734.44502,773,3749,1.33730488,1143.965648,71,0.972,0.059895465,0.211185484,87,2,5.948963562,8,1
52,F,4,Unknown,Married,Less than $40K,Blue,36,1,4,5,12699.85895,774,2143,1.336851725,1139.355955,36,0.333,0.059614828,0.505802078,59,2,2.57661993,1,2
37,M,3,College,Married,$80K - $120K,Blue,30,3,4,3,12652.32194,772,10712,1.339502711,1147.604197,15,0.364,0.060337525,0.001953818,56,3,9.47223829,5,2
55,F,4,Graduate,Married,$40K - $60K,Blue,41,1,1,3,12683.71471,779,1438.3,1.335921122,1147.081462,88,0.63,0.059049859,0.218111246,26,4,4.421255853,6,1
52,F,1,College,Married,Unknown,Blue,40,5,3,1,12673.7634,776,9675,1.334404346,1147.032276,60,0.875,0.056746809,0.5035003,70,5,9.275008475,5,1
30,M,0,High School,Married,$120K +,Blue,13,3,1,4,12702.49317,779,7042,1.339865225,1145.322968,42,0.448,0.06518955,0.155201676,88,3,7.430604665,1,1
40,F,4,Doctorate,Married,Less than $40K,Blue,21,1,2,1,12692.24515,773,467,1.335508215,1145.962849,53,0.359,0.059120201,0.520838319,21,3,4.871326977,8,2
49,M,3,Unknown,Married,$60K - $80K,Blue,36,6,3,3,12709.89261,778,5909,1.33396847,1142.683605,97,0.565,0.057996533,0.406266492,3,1,6.776731843,5,1
44,F,2,Graduate,Married,Unknown,Blue,36,3,1,2,12654.71755,779,6038,1.334992406,1147.264307,81,0.688,0.061521969,0.633354364,14,1,0.643007017,4,1
27,F,2,College,Divorced,Less than $40K,Blue,14,4,3,3,12708.4092,774,419,1.331201301,1146.803284,61,0.794,0.056229789,0.649095544,29,1,3.981261903,2,1
39,F,5,Unknown,Married,$40K - $60K,Blue,31,3,3,6,12646.29442,774,1466,1.337374928,1143.419055,50,0.282,0.064208787,0.304695758,85,0,1.952622472,3,2
32,M,2,Graduate,Married,$80K - $120K,Blue,36,2,1,2,12723.80889,779,23531,1.337638165,1143.327347,104,0.793,0.064043504,0.833567378,31,4,8.692784143,2,1
45,M,1,College,Unknown,$120K +,Blue,32,3,1,3,12676.86009,781,1934,1.337743747,1148.725755,70,0.667,0.06289351,0.78066519,78,2,5.000511901,2,1
49,M,2,Unknown,Married,$60K - $80K,Blue,36,2,1,2,12691.61711,779,4895,1.336544441,1140.133271,93,0.755,0.060302847,0.939667983,79,1,9.978020821,1,1
43,F,5,High School,Single,Less than $40K,Blue,33,6,2,2,12700.90513,779,4110,1.334912947,1145.678242,69,0.568,0.057214756,0.937041838,9,4,0.991552548,8,1
50,M,2,High School,Single,$60K - $80K,Blue,46,6,2,4,12688.11885,778,4848,1.338460799,1141.187531,84,1.049,0.060118173,0.906751058,22,3,5.901489057,9,1
62,M,0,Graduate,Divorced,$60K - $80K,Blue,56,1,3,3,12732.34197,778,3586,1.337342838,1147.452657,92,0.704,0.062950475,0.662411668,34,4,2.433436894,9,1
40,F,2,College,Unknown,Less than $40K,Blue,36,6,1,3,12673.751,777,374,1.33277838,1145.538291,41,0.952,0.060270918,0.264360798,26,4,3.510893814,10,2
40,M,2,Unknown,Married,$60K - $80K,Blue,34,6,3,0,12663.41122,778,1668,1.338087086,1142.568258,74,0.947,0.062744363,0.433428364,37,4,2.955657311,9,1
35,F,3,Graduate,Single,Less than $40K,Blue,27,3,3,2,12706.52934,781,4842,1.336961198,1142.006588,65,0.757,0.063513298,0.323227648,73,0,4.323660176,1,1
59,M,1,Uneducated,Married,$60K - $80K,Blue,36,4,3,3,12717.03265,774,2567,1.330425705,1142.496556,31,0.824,0.064578606,0.700507032,49,1,5.669944761,5,1
45,F,4,Post-Graduate,Unknown,Less than $40K,Blue,36,6,3,1,12701.20133,781,728,1.339314965,1145.83844,89,0.978,0.063778139,0.74856359,7,4,3.888721156,1,1
52,F,1,Unknown,Married,Unknown,Blue,45,2,4,0,12654.51022,781,23486,1.330988356,1141.476704,74,0.762,0.060684336,0.364426988,73,3,8.430828024,3,1
39,F,1,Graduate,Single,Less than $40K,Blue,21,1,2,1,12662.31333,777,1502,1.333716638,1143.918139,89,0.745,0.060954725,0.048245404,48,4,5.615699576,2,1
36,F,2,Uneducated,Single,Less than $40K,Blue,30,6,2,3,12679.05571,776,1210,1.33945177,1148.650781,51,1.04,0.061018156,0.579344895,26,3,0.544211987,5,1
50,M,4,High School,Single,$120K +,Blue,41,4,3,3,12693.8361,772,6982,1.339985844,1141.348115,50,0.724,0.056035309,0.745527101,9,1,5.202239755,6,2
55,F,2,Doctorate,Married,Unknown,Blue,47,6,1,3,12708.9591,778,5794,1.337777057,1139.139034,73,0.587,0.057664231,0.348945283,96,3,4.825098643,1,1
36,F,2,College,Married,Less than $40K,Blue,17,5,2,2,12733.15163,780,1971,1.337211239,1140.902216,77,0.571,0.058455378,0.892621703,31,3,9.58803959,5,1
30,M,0,College,Single,$60K - $80K,Blue,24,6,2,2,12659.18449,777,4109,1.337338361,1148.072898,77,0.481,0.065731915,0.453123671,5,2,6.122299683,4,2
48,F,1,Graduate,Married,Less than $40K,Blue,38,6,2,3,12717.1523,778,700,1.332768994,1146.100581,50,0.852,0.06149605,0.873036676,35,1,3.753335941,10,1
32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,12670.8476,775,27685,1.331624759,1139.555313,36,0.714,0.061567637,0.784072876,83,2,4.719053262,8,1
47,M,1,Graduate,Single,$80K - $120K,Blue,31,4,1,2,12729.21634,778,17271,1.335852965,1139.096084,56,1,0.064344228,0.446291679,25,3,4.757159151,9,1
37,F,2,Unknown,Single,Less than $40K,Blue,21,1,1,1,12730.65293,773,2491,1.336628386,1146.27626,66,0.833,0.057196424,0.404784838,0,3,0.334628407,2,1
36,M,2,College,Single,$60K - $80K,Blue,24,5,2,5,12642.88572,778,22192,1.339557035,1144.544598,73,0.698,0.063169209,0.189614117,27,2,5.809085375,6,1
47,M,4,Unknown,Single,$40K - $60K,Blue,36,3,3,3,12698.07453,776,3872,1.333587816,1145.596835,88,0.66,0.060956272,0.851753444,40,1,5.878694189,0,1
34,F,2,Graduate,Single,Less than $40K,Blue,24,5,3,3,12722.39931,780,3757,1.337866431,1148.815116,54,0.8,0.063132472,0.558289936,88,3,4.575302514,5,1
51,F,3,High School,Single,Less than $40K,Blue,39,5,2,1,12688.00178,775,2801,1.337134018,1143.892459,68,0.545,0.063892428,0.41777589,14,3,4.737122808,1,1
